Wavelength (nm)	Band 1p	Band 1	Band 2	Band 3	Band 4	Band 4p	Band 5p	Band 5	Band 7	Pan
591	0.00000	0.00000	0.97323	0.00007	0.00000	0.00000	0.00000	0.00000	0.00000	0.80607
592	0.00000	0.00000	0.98217	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000	0.80246
593	0.00000	0.00000	0.99015	0.00011	0.00000	0.00000	0.00000	0.00000	0.00000	0.79902
594	0.00000	0.00000	0.99470	0.00014	0.00000	0.00000	0.00000	0.00000	0.00000	0.79771
595	0.00000	0.00000	0.99949	0.00019	0.00000	0.00000	0.00000	0.00000	0.00000	0.80144
596	0.00000	0.00000	1.00009	0.00023	0.00000	0.00000	0.00000	0.00000	0.00000	0.80957
597	0.00000	0.00000	0.99433	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000	0.82430
598	0.00000	0.00000	0.97685	0.00043	0.00000	0.00000	0.00000	0.00000	0.00000	0.83593
599	0.00000	0.00000	0.93763	0.00054	0.00000	0.00000	0.00000	0.00000	0.00000	0.84763
600	0.00000	0.00000	0.86768	0.00072	0.00000	0.00000	0.00000	0.00000	0.00000	0.85393
601	0.00000	0.00000	0.76963	0.00087	0.00000	0.00000	0.00000	0.00000	0.00000	0.85837
602	0.00000	0.00000	0.64506	0.00100	0.00000	0.00000	0.00000	0.00000	0.00000	0.85788
603	0.00000	0.00000	0.52314	0.00110	0.00000	0.00000	0.00000	0.00000	0.00000	0.85911
604	0.00000	0.00000	0.40830	0.00120	0.00000	0.00000	0.00000	0.00000	0.00000	0.86135
605	0.00000	0.00000	0.31429	0.00131	0.00000	0.00000	0.00000	0.00000	0.00000	0.86650
606	0.00000	0.00000	0.23953	0.00143	0.00000	0.00000	0.00000	0.00000	0.00000	0.87082
607	0.00000	0.00000	0.18306	0.00158	0.00000	0.00000	0.00000	0.00000	0.00000	0.86974
608	0.00000	0.00000	0.14002	0.00183	0.00000	0.00000	0.00000	0.00000	0.00000	0.86664
609	0.00000	0.00000	0.10708	0.00221	0.00000	0.00000	0.00000	0.00000	0.00000	0.85922
610	0.00000	0.00000	0.08244	0.00261	0.00000	0.00000	0.00000	0.00000	0.00000	0.85146
611	0.00000	0.00000	0.06265	0.00323	0.00000	0.00000	0.00000	0.00000	0.00000	0.84347
612	0.00000	0.00000	0.04782	0.00406	0.00000	0.00000	0.00000	0.00000	0.00000	0.84138
613	0.00000	0.00000	0.03530	0.00524	0.00000	0.00000	0.00000	0.00000	0.00000	0.84883
614	0.00000	0.00000	0.02565	0.00696	0.00000	0.00000	0.00000	0.00000	0.00000	0.85749
615	0.00000	0.00000	0.01820	0.00941	0.00000	0.00000	0.00000	0.00000	0.00000	0.87106
616	0.00000	0.00000	0.01282	0.01278	0.00000	0.00000	0.00000	0.00000	0.00000	0.88417
